0, MD5, 1553, 0.7112533727532615, 0.35570135156317045, 655882395.4198929, 3114845361.212823
10, md5($pass.$salt), 36, 0.6183366814465329, 0.2834759000144156, 2211902738.9169326, 4631083229.165618
11, Joomla < 2.5.18, 32, 0.6054048584563854, 0.36138091529313254, 3149283556.84513, 4113668333.3174767
20, md5($salt.$pass), 48, 0.677277884218141, 0.2933625673567907, 937633258.2433208, 6938978434.054822
21, osCommerce  xt:Commerce, 74, 0.7321126911951277, 0.32586460157357255, 1127693984.7316961, 3840764144.8741503
60, HMAC-MD5 (key = $salt), 3, 0.31359439411665607, 0.40630437913958184, 5818616029.411765, 7831667970.588235
100, SHA1, 198, 0.7401361811981114, 0.3647454765541033, 650830441.7905188, 3257359533.6752563
101, nsldap  SHA-1(Base64)  Netscape LDAP SHA, 1, 0.06877571857306396, 0, 6011737567.951775, 0
110, sha1($pass.$salt), 12, 0.40881539913864023, 0.39769845666336434, 3527707751.6423354, 9214648095.072336
111, nsldaps  SSHA-1(Base64)  Netscape LDAP SSHA, 22, 0.16316528794421706, 0.0730181638187816, 12354863936.245201, 3320929716.213158
120, sha1($salt.$pass), 24, 0.6373864424685478, 0.25052865732049356, 3628143286.597633, 6071643249.633902
121, SMF (Simple Machines Forum) > v1.1, 27, 0.5749133775596533, 0.3066597892224962, 5128544948.155899, 7083421190.367739
124, Django (SHA-1), 19, 0.7636921950654653, 0.20464740198016743, 1523725281.5902853, 943201484.6788977
160, HMAC-SHA1 (key = $salt), 1, 0.6012575519978606, 0, 3081589992.569941, 0
200, MySQL323, 26, 0.8218226697608291, 0.30851142760139977, 1190260661.7342672, 3410202791.432256
300, MySQL4.1/MySQL5, 73, 0.7682168502191923, 0.3797019579168226, 198788823.0523667, 1542318898.5750043
400, phpass, 214, 0.3252185914684686, 0.3001801114134103, 104133070310.69772, 1312390872972.984
500, md5crypt  MD5 (Unix)  Cisco-IOS $1$ (MD5), 38, 0.33085252436707574, 0.2944811999857606, 1212286031.6768637, 3204660220.1918993
1000, NTLM, 31, 0.3693811396800965, 0.3644780991966648, 2007654632.7948253, 4418217264.472722
1400, SHA2-256, 40, 0.563673611278414, 0.39567088258827476, 1425392139.387725, 2960885322.7366285
1410, sha256($pass.$salt), 12, 0.4000154334403283, 0.31054845925244967, 3350004898.5043316, 5009907800.241857
1420, sha256($salt.$pass), 18, 0.5859686246411185, 0.27828580647442847, -2926909720.368668, 2780747553.887482
1500, descrypt  DES (Unix)  Traditional DES, 15, 0.5691153843822835, 0.4025962617070622, 1802946073.9885995, 4897931372.519448
1600, Apache $apr1$ MD5  md5apr1  MD5 (APR), 3, 0.3333333333333333, 0.4714045207910317, -1276433000, 0
1700, SHA2-512, 18, 0.519124916684747, 0.3559087054062313, 2438588757.9051037, 5905586830.292118
1710, sha512($pass.$salt), 9, 0.2824191513786382, 0.22585477284087377, -1015102369.5724272, 914543763.4677194
1711, SSHA-512(Base64)  LDAP {SSHA512}, 1, 0, 0, NaN, NaN
1720, sha512($salt.$pass), 17, 0.318240025339318, 0.26600945550295557, 7165807396.320285, 1341215134.5846384
1800, sha512crypt $6$  SHA512 (Unix), 9, 0.184073346296699, 0.1876441137765288, 3373525647.655027, 5998063740.965485
2100, Domain Cached Credentials 2 (DCC2)  MS Cache 2, 3, 0.39744966583124475, 0.3505288057543179, -1032528898.5950599, 374765663.7665637
2600, md5(md5($pass)), 81, 0.712369736077409, 0.30939062843742193, 363950725.53747326, 1764724607.5514226
2611, vBulletin < v3.8.5, 406, 0.6353794024636618, 0.2764569633512955, 693372134.7744356, 3324957721.608023
2711, vBulletin >= v3.8.5, 379, 0.5748918065943183, 0.27671388400369507, -6062308.850181011, 4223910243.7450333
2811, MyBB 1.2+  IPB2+ (Invision Power Board), 162, 0.639578298241197, 0.2371674190685112, 455387785.62064064, 3327900308.1151752
3000, LM, 1, 0, 0, NaN, NaN
3200, bcrypt $2*$  Blowfish (Unix), 283, 0.12366362871441645, 0.19861686082240962, 6154058359.149566, 7711783027.438945
3910, md5(md5($pass).md5($salt)), 2, 0.5584403909992404, 0.14083448349826874, 59831135.07352185, 2489432151.4266434
4110, md5($salt.md5($pass.$salt)), 2, 0.8654723987259719, 0.02755085708798155, 4508036490.759754, 62821509.240246296
4400, md5(sha1($pass)), 1, 0.7343367168358418, 0, -12725013.346043851, 0
4700, sha1(md5($pass)), 9, 0.7636504440180324, 0.21516083591210014, -395720193.7419401, 1543587588.21572
4710, sha1(md5($pass).$salt), 1, 0.5714285714285714, 0, -301909000, 0
5500, NetNTLMv1 / NetNTLMv1+ESS, 2, 0, 0, NaN, NaN
7100, macOS v10.8+ (PBKDF2-SHA512), 1, 0, 0, NaN, NaN
7400, sha256crypt $5$  SHA256 (Unix), 1, 0.08927519346489167, 0, 22858391939.344505, 0
7900, Drupal7, 20, 0.15426446119810605, 0.2952567679919694, 12464693955.055374, 14021552054.83375
9400, MS Office 2007, 3, 0, 0, NaN, NaN
9500, MS Office 2010, 2, 0, 0, NaN, NaN
9600, MS Office 2013, 3, 0.3333333333333333, 0.4714045207910317, 12587951000, 0
9700, MS Office <= 2003 $0/$1  MD5 + RC4, 1, 0.6666666666666666, 0, -1003021000, 0
9710, MS Office <= 2003 $0/$1  MD5 + RC4  collider #1, 1, 0, 0, NaN, NaN
10000, Django (PBKDF2-SHA256), 85, 0.1584174253592474, 0.18668721197359742, 4708075124.148988, 6396780271.294842
10500, PDF 1.4 - 1.6 (Acrobat 5 - 8), 2, 0.015426497277676952, 0.015426497277676952, 9394424941.17647, 0
10600, PDF 1.7 Level 3 (Acrobat 9), 1, 0, 0, NaN, NaN
10700, PDF 1.7 Level 8 (Acrobat 10 - 11), 1, 0, 0, NaN, NaN
10900, PBKDF2-HMAC-SHA256, 1, 0, 0, NaN, NaN
11000, PrestaShop, 3, 0.3906106954209876, 0.11508768418298494, 1267094707.2443864, 2670278560.869395
11300, Bitcoin/Litecoin wallet.dat, 14, 0, 0, NaN, NaN
11600, 7-Zip, 2, 0, 0, NaN, NaN
12500, RAR3-hp, 3, 0, 0, NaN, NaN
12700, Blockchain  My Wallet, 1, 0, 0, NaN, NaN
13000, RAR5, 4, 0, 0, NaN, NaN
13400, KeePass 1 (AES/Twofish) and KeePass 2 (AES), 1, 0, 0, NaN, NaN
13900, OpenCart, 25, 0.3760916664782218, 0.21861370132989905, 3190892706.6648335, 4895384027.3904915
14000, DES (PT = $salt  key = $pass), 1, 0, 0, NaN, NaN
15200, Blockchain  My Wallet  V2, 2, 0, 0, NaN, NaN
15700, Ethereum Wallet  SCRYPT, 2, 0, 0, NaN, NaN
16300, Ethereum Pre-Sale Wallet  PBKDF2-HMAC-SHA256, 1, 0, 0, NaN, NaN
16600, Electrum Wallet (Salt-Type 1-3), 1, 0, 0, NaN, NaN
16800, WPA-PMKID-PBKDF2, 3, 0, 0, NaN, NaN
18501, sha1(md5(sha1($pass))), 1, 0.18024502297090353, 0, 7665536387.789781, 0
19500, Ruby on Rails Restful-Authentication, 3, 0.23257909297072465, 0.3289165076036318, -145966000, 0
20710, sha256(sha256($pass).$salt), 7, 0.5979194512264122, 0.35523943105439476, 1862624498.8363943, 2795286458.0501304
20711, AuthMe sha256, 158, 0.8334654831188992, 0.16201476302397466, -701922417.6125745, 1474413938.220883
20900, md5(sha1($pass).md5($pass).sha1($pass)), 1, 0.732191990217059, 0, -1281531830.480167, 0
21200, md5(sha1($salt).md5($pass)), 3, 0.5383606809273398, 0.3824015767190397, 534579389.0180009, 368106384.35006803
21300, md5($salt.sha1($salt.$pass)), 1, 0.07844287067526727, 0, -145982000, 0
21700, Electrum Wallet (Salt-Type 4), 3, 0, 0, NaN, NaN
21800, Electrum Wallet (Salt-Type 5), 1, 0, 0, NaN, NaN
22000, WPA-PBKDF2-PMKID+EAPOL, 45, 0.05481030392748722, 0.13959801253775858, 6544667810.057525, 7395959494.329381
22001, WPA-PMK-PMKID+EAPOL, 1, 0, 0, NaN, NaN
22100, BitLocker, 1, 0, 0, NaN, NaN
22500, MultiBit Classic .key (MD5), 2, 0, 0, NaN, NaN
23600, AxCrypt 2 AES-256, 1, 0, 0, NaN, NaN
23800, RAR3-p (Compressed), 1, 0, 0, NaN, NaN
25600, bcrypt(md5($pass)) / bcryptmd5, 54, 0.24459748429741454, 0.2050680544697445, 30403639504.75867, 6279209218.640802
26600, MetaMask Wallet, 1, 0, 0, NaN, NaN
27200, Ruby on Rails Restful Auth (one round  no sitekey), 14, 0.6706860299733278, 0.2393752229358087, 4973573475.882886, 6144052994.346566
